Core: hps_sdram_p0 - Instance: u0|hps_0|hps_io|border|hps_sdram_inst
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",0.908,0.914
"Bus Turnaround Time (Slow 1100mV 85C Model)",4.304,--
"Core (Slow 1100mV 85C Model)",1.73,0.143
"Core Recovery/Removal (Slow 1100mV 85C Model)",3.375,0.47
"DQS vs CK (Slow 1100mV 85C Model)",0.811,0.811
"Postamble (Slow 1100mV 85C Model)",0.505,0.505
"Read Capture (Slow 1100mV 85C Model)",0.234,0.187
"Write (Slow 1100mV 85C Model)",0.993,0.993
"Address Command (Slow 1100mV 0C Model)",0.884,0.889
"Bus Turnaround Time (Slow 1100mV 0C Model)",4.304,--
"Core (Slow 1100mV 0C Model)",1.727,0.162
"Core Recovery/Removal (Slow 1100mV 0C Model)",3.468,0.46
"DQS vs CK (Slow 1100mV 0C Model)",0.806,0.806
"Postamble (Slow 1100mV 0C Model)",0.49,0.49
"Read Capture (Slow 1100mV 0C Model)",0.25,0.203
"Write (Slow 1100mV 0C Model)",0.98,0.98
"Address Command (Fast 1100mV 85C Model)",0.809,0.819
"Bus Turnaround Time (Fast 1100mV 85C Model)",4.304,--
"Core (Fast 1100mV 85C Model)",2.11,0.084
"Core Recovery/Removal (Fast 1100mV 85C Model)",3.727,0.497
"DQS vs CK (Fast 1100mV 85C Model)",0.774,0.774
"Postamble (Fast 1100mV 85C Model)",0.582,0.582
"Read Capture (Fast 1100mV 85C Model)",0.371,0.324
"Write (Fast 1100mV 85C Model)",0.886,0.886
"Address Command (Fast 1100mV 0C Model)",0.806,0.813
"Bus Turnaround Time (Fast 1100mV 0C Model)",4.304,--
"Core (Fast 1100mV 0C Model)",2.11,0.077
"Core Recovery/Removal (Fast 1100mV 0C Model)",3.825,0.473
"DQS vs CK (Fast 1100mV 0C Model)",0.773,0.773
"Postamble (Fast 1100mV 0C Model)",0.588,0.588
"Read Capture (Fast 1100mV 0C Model)",0.371,0.324
"Write (Fast 1100mV 0C Model)",0.884,0.884
